permissionCode,targetType,permissionRoleCode,authorizeFlag
knowledge-base.settings,KNOWLEDGE_BASE,MANAGER,true
knowledge-base.settings,KNOWLEDGE_BASE,MANAGER,true
knowledge-base.settings,KNOWLEDGE_BASE,MANAGER,false
knowledge-base.settings,KNOWLEDGE_BASE,EDITOR,false
knowledge-base.settings,KNOWLEDGE_BASE,EDITOR,false
knowledge-base.settings,KNOWLEDGE_BASE,EDITOR,false
knowledge-base.settings,KNOWLEDGE_BASE,READER,false
knowledge-base.settings,KNOWLEDGE_BASE,READER,false
knowledge-base.settings,KNOWLEDGE_BASE,READER,false
knowledge-base.delete,KNOWLEDGE_BASE,MANAGER,true
knowledge-base.delete,KNOWLEDGE_BASE,MANAGER,false
knowledge-base.delete,KNOWLEDGE_BASE,MANAGER,false
knowledge-base.delete,KNOWLEDGE_BASE,EDITOR,false
knowledge-base.delete,KNOWLEDGE_BASE,EDITOR,false
knowledge-base.delete,KNOWLEDGE_BASE,EDITOR,false
knowledge-base.delete,KNOWLEDGE_BASE,READER,false
knowledge-base.delete,KNOWLEDGE_BASE,READER,false
knowledge-base.delete,KNOWLEDGE_BASE,READER,false
knowledge-base.recover,KNOWLEDGE_BASE,MANAGER,true
knowledge-base.recover,KNOWLEDGE_BASE,MANAGER,false
knowledge-base.recover,KNOWLEDGE_BASE,MANAGER,false
knowledge-base.recover,KNOWLEDGE_BASE,EDITOR,false
knowledge-base.recover,KNOWLEDGE_BASE,EDITOR,false
knowledge-base.recover,KNOWLEDGE_BASE,EDITOR,false
knowledge-base.recover,KNOWLEDGE_BASE,READER,false
knowledge-base.recover,KNOWLEDGE_BASE,READER,false
knowledge-base.recover,KNOWLEDGE_BASE,READER,false
knowledge-base.permanently-delete,KNOWLEDGE_BASE,MANAGER,true
knowledge-base.permanently-delete,KNOWLEDGE_BASE,MANAGER,false
knowledge-base.permanently-delete,KNOWLEDGE_BASE,MANAGER,false
knowledge-base.permanently-delete,KNOWLEDGE_BASE,EDITOR,false
knowledge-base.permanently-delete,KNOWLEDGE_BASE,EDITOR,false
knowledge-base.permanently-delete,KNOWLEDGE_BASE,EDITOR,false
knowledge-base.permanently-delete,KNOWLEDGE_BASE,READER,false
knowledge-base.permanently-delete,KNOWLEDGE_BASE,READER,false
knowledge-base.permanently-delete,KNOWLEDGE_BASE,READER,false
knowledge-base.collaborators,KNOWLEDGE_BASE,MANAGER,true
knowledge-base.collaborators,KNOWLEDGE_BASE,MANAGER,false
knowledge-base.collaborators,KNOWLEDGE_BASE,MANAGER,false
knowledge-base.collaborators,KNOWLEDGE_BASE,EDITOR,false
knowledge-base.collaborators,KNOWLEDGE_BASE,EDITOR,false
knowledge-base.collaborators,KNOWLEDGE_BASE,EDITOR,false
knowledge-base.collaborators,KNOWLEDGE_BASE,READER,false
knowledge-base.collaborators,KNOWLEDGE_BASE,READER,false
knowledge-base.collaborators,KNOWLEDGE_BASE,READER,false
knowledge-base.security-settings,KNOWLEDGE_BASE,MANAGER,true
knowledge-base.security-settings,KNOWLEDGE_BASE,MANAGER,false
knowledge-base.security-settings,KNOWLEDGE_BASE,MANAGER,false
knowledge-base.security-settings,KNOWLEDGE_BASE,EDITOR,false
knowledge-base.security-settings,KNOWLEDGE_BASE,EDITOR,false
knowledge-base.security-settings,KNOWLEDGE_BASE,EDITOR,false
knowledge-base.security-settings,KNOWLEDGE_BASE,READER,false
knowledge-base.security-settings,KNOWLEDGE_BASE,READER,false
knowledge-base.security-settings,KNOWLEDGE_BASE,READER,false
folder.create,FOLDER,MANAGER,true
folder.create,FOLDER,MANAGER,true
folder.create,FOLDER,MANAGER,false
folder.create,FOLDER,EDITOR,false
folder.create,FOLDER,EDITOR,false
folder.create,FOLDER,EDITOR,false
folder.create,FOLDER,READER,false
folder.create,FOLDER,READER,false
folder.create,FOLDER,READER,false
folder.rename,FOLDER,MANAGER,true
folder.rename,FOLDER,MANAGER,true
folder.rename,FOLDER,MANAGER,false
folder.rename,FOLDER,EDITOR,true
folder.rename,FOLDER,EDITOR,true
folder.rename,FOLDER,EDITOR,false
folder.rename,FOLDER,READER,false
folder.rename,FOLDER,READER,false
folder.rename,FOLDER,READER,false
folder.move,FOLDER,MANAGER,true
folder.move,FOLDER,MANAGER,true
folder.move,FOLDER,MANAGER,false
folder.move,FOLDER,EDITOR,true
folder.move,FOLDER,EDITOR,true
folder.move,FOLDER,EDITOR,false
folder.move,FOLDER,READER,false
folder.move,FOLDER,READER,false
folder.move,FOLDER,READER,false
folder.delete,FOLDER,MANAGER,true
folder.delete,FOLDER,MANAGER,false
folder.delete,FOLDER,MANAGER,false
folder.delete,FOLDER,EDITOR,true
folder.delete,FOLDER,EDITOR,false
folder.delete,FOLDER,EDITOR,false
folder.delete,FOLDER,READER,false
folder.delete,FOLDER,READER,false
folder.delete,FOLDER,READER,false
folder.recover,FOLDER,MANAGER,true
folder.recover,FOLDER,MANAGER,false
folder.recover,FOLDER,MANAGER,false
folder.recover,FOLDER,EDITOR,true
folder.recover,FOLDER,EDITOR,false
folder.recover,FOLDER,EDITOR,false
folder.recover,FOLDER,READER,false
folder.recover,FOLDER,READER,false
folder.recover,FOLDER,READER,false
folder.permanently-delete,FOLDER,MANAGER,true
folder.permanently-delete,FOLDER,MANAGER,false
folder.permanently-delete,FOLDER,MANAGER,false
folder.permanently-delete,FOLDER,EDITOR,true
folder.permanently-delete,FOLDER,EDITOR,false
folder.permanently-delete,FOLDER,EDITOR,false
folder.permanently-delete,FOLDER,READER,false
folder.permanently-delete,FOLDER,READER,false
folder.permanently-delete,FOLDER,READER,false
folder.collaborators,FOLDER,MANAGER,true
folder.collaborators,FOLDER,MANAGER,true
folder.collaborators,FOLDER,MANAGER,false
folder.collaborators,FOLDER,EDITOR,true
folder.collaborators,FOLDER,EDITOR,true
folder.collaborators,FOLDER,EDITOR,false
folder.collaborators,FOLDER,READER,false
folder.collaborators,FOLDER,READER,false
folder.collaborators,FOLDER,READER,false
folder.security-settings,FOLDER,MANAGER,true
folder.security-settings,FOLDER,MANAGER,false
folder.security-settings,FOLDER,MANAGER,false
folder.security-settings,FOLDER,EDITOR,true
folder.security-settings,FOLDER,EDITOR,false
folder.security-settings,FOLDER,EDITOR,false
folder.security-settings,FOLDER,READER,false
folder.security-settings,FOLDER,READER,false
folder.security-settings,FOLDER,READER,false
document.create,FILE,MANAGER,true
document.create,FILE,MANAGER,true
document.create,FILE,MANAGER,false
document.create,FILE,EDITOR,true
document.create,FILE,EDITOR,true
document.create,FILE,EDITOR,false
document.create,FILE,READER,false
document.create,FILE,READER,false
document.create,FILE,READER,false
document.edit,FILE,MANAGER,true
document.edit,FILE,MANAGER,true
document.edit,FILE,MANAGER,false
document.edit,FILE,EDITOR,true
document.edit,FILE,EDITOR,true
document.edit,FILE,EDITOR,false
document.edit,FILE,READER,true
document.edit,FILE,READER,true
document.edit,FILE,READER,false
document.rename,FILE,MANAGER,true
document.rename,FILE,MANAGER,true
document.rename,FILE,MANAGER,false
document.rename,FILE,EDITOR,true
document.rename,FILE,EDITOR,true
document.rename,FILE,EDITOR,false
document.rename,FILE,READER,true
document.rename,FILE,READER,true
document.rename,FILE,READER,false
document.move,FILE,MANAGER,true
document.move,FILE,MANAGER,true
document.move,FILE,MANAGER,false
document.move,FILE,EDITOR,true
document.move,FILE,EDITOR,true
document.move,FILE,EDITOR,false
document.move,FILE,READER,true
document.move,FILE,READER,true
document.move,FILE,READER,false
document.copy,FILE,MANAGER,true
document.copy,FILE,MANAGER,true
document.copy,FILE,MANAGER,true
document.copy,FILE,EDITOR,true
document.copy,FILE,EDITOR,true
document.copy,FILE,EDITOR,true
document.copy,FILE,READER,true
document.copy,FILE,READER,true
document.copy,FILE,READER,true
document.download-to-pdf,FILE,MANAGER,true
document.download-to-pdf,FILE,MANAGER,true
document.download-to-pdf,FILE,MANAGER,true
document.download-to-pdf,FILE,EDITOR,true
document.download-to-pdf,FILE,EDITOR,true
document.download-to-pdf,FILE,EDITOR,true
document.download-to-pdf,FILE,READER,true
document.download-to-pdf,FILE,READER,true
document.download-to-pdf,FILE,READER,true
document.operating-history,FILE,MANAGER,true
document.operating-history,FILE,MANAGER,true
document.operating-history,FILE,MANAGER,true
document.operating-history,FILE,EDITOR,true
document.operating-history,FILE,EDITOR,true
document.operating-history,FILE,EDITOR,true
document.operating-history,FILE,READER,true
document.operating-history,FILE,READER,true
document.operating-history,FILE,READER,true
document.view-version,FILE,MANAGER,true
document.view-version,FILE,MANAGER,true
document.view-version,FILE,MANAGER,true
document.view-version,FILE,EDITOR,true
document.view-version,FILE,EDITOR,true
document.view-version,FILE,EDITOR,true
document.view-version,FILE,READER,true
document.view-version,FILE,READER,true
document.view-version,FILE,READER,true
document.roll-back,FILE,MANAGER,true
document.roll-back,FILE,MANAGER,true
document.roll-back,FILE,MANAGER,false
document.roll-back,FILE,EDITOR,true
document.roll-back,FILE,EDITOR,true
document.roll-back,FILE,EDITOR,false
document.roll-back,FILE,READER,true
document.roll-back,FILE,READER,true
document.roll-back,FILE,READER,false
document.delete,FILE,MANAGER,true
document.delete,FILE,MANAGER,false
document.delete,FILE,MANAGER,false
document.delete,FILE,EDITOR,true
document.delete,FILE,EDITOR,false
document.delete,FILE,EDITOR,false
document.delete,FILE,READER,true
document.delete,FILE,READER,false
document.delete,FILE,READER,false
document.recover,FILE,MANAGER,true
document.recover,FILE,MANAGER,false
document.recover,FILE,MANAGER,false
document.recover,FILE,EDITOR,true
document.recover,FILE,EDITOR,false
document.recover,FILE,EDITOR,false
document.recover,FILE,READER,true
document.recover,FILE,READER,false
document.recover,FILE,READER,false
document.permanently-delete,FILE,MANAGER,true
document.permanently-delete,FILE,MANAGER,false
document.permanently-delete,FILE,MANAGER,false
document.permanently-delete,FILE,EDITOR,true
document.permanently-delete,FILE,EDITOR,false
document.permanently-delete,FILE,EDITOR,false
document.permanently-delete,FILE,READER,true
document.permanently-delete,FILE,READER,false
document.permanently-delete,FILE,READER,false
document.share,FILE,MANAGER,true
document.share,FILE,MANAGER,true
document.share,FILE,MANAGER,true
document.share,FILE,EDITOR,true
document.share,FILE,EDITOR,true
document.share,FILE,EDITOR,true
document.share,FILE,READER,true
document.share,FILE,READER,true
document.share,FILE,READER,true
document.collaborators,FILE,MANAGER,true
document.collaborators,FILE,MANAGER,true
document.collaborators,FILE,MANAGER,false
document.collaborators,FILE,EDITOR,true
document.collaborators,FILE,EDITOR,true
document.collaborators,FILE,EDITOR,false
document.collaborators,FILE,READER,true
document.collaborators,FILE,READER,true
document.collaborators,FILE,READER,false
document.security-settings,FILE,MANAGER,true
document.security-settings,FILE,MANAGER,false
document.security-settings,FILE,MANAGER,false
document.security-settings,FILE,EDITOR,true
document.security-settings,FILE,EDITOR,false
document.security-settings,FILE,EDITOR,false
document.security-settings,FILE,READER,true
document.security-settings,FILE,READER,false
document.security-settings,FILE,READER,false
file.create,FILE,MANAGER,true
file.create,FILE,MANAGER,true
file.create,FILE,MANAGER,false
file.create,FILE,EDITOR,true
file.create,FILE,EDITOR,true
file.create,FILE,EDITOR,false
file.create,FILE,READER,false
file.create,FILE,READER,false
file.create,FILE,READER,false
file.edit,FILE,MANAGER,true
file.edit,FILE,MANAGER,true
file.edit,FILE,MANAGER,false
file.edit,FILE,EDITOR,true
file.edit,FILE,EDITOR,true
file.edit,FILE,EDITOR,false
file.edit,FILE,READER,true
file.edit,FILE,READER,true
file.edit,FILE,READER,false
file.rename,FILE,MANAGER,true
file.rename,FILE,MANAGER,true
file.rename,FILE,MANAGER,false
file.rename,FILE,EDITOR,true
file.rename,FILE,EDITOR,true
file.rename,FILE,EDITOR,false
file.rename,FILE,READER,true
file.rename,FILE,READER,true
file.rename,FILE,READER,false
file.move,FILE,MANAGER,true
file.move,FILE,MANAGER,true
file.move,FILE,MANAGER,false
file.move,FILE,EDITOR,true
file.move,FILE,EDITOR,true
file.move,FILE,EDITOR,false
file.move,FILE,READER,true
file.move,FILE,READER,true
file.move,FILE,READER,false
file.copy,FILE,MANAGER,true
file.copy,FILE,MANAGER,true
file.copy,FILE,MANAGER,true
file.copy,FILE,EDITOR,true
file.copy,FILE,EDITOR,true
file.copy,FILE,EDITOR,true
file.copy,FILE,READER,true
file.copy,FILE,READER,true
file.copy,FILE,READER,true
file.download,FILE,MANAGER,true
file.download,FILE,MANAGER,true
file.download,FILE,MANAGER,true
file.download,FILE,EDITOR,true
file.download,FILE,EDITOR,true
file.download,FILE,EDITOR,true
file.download,FILE,READER,true
file.download,FILE,READER,true
file.download,FILE,READER,true
file.delete,FILE,MANAGER,true
file.delete,FILE,MANAGER,false
file.delete,FILE,MANAGER,false
file.delete,FILE,EDITOR,true
file.delete,FILE,EDITOR,false
file.delete,FILE,EDITOR,false
file.delete,FILE,READER,true
file.delete,FILE,READER,false
file.delete,FILE,READER,false
file.recover,FILE,MANAGER,true
file.recover,FILE,MANAGER,false
file.recover,FILE,MANAGER,false
file.recover,FILE,EDITOR,true
file.recover,FILE,EDITOR,false
file.recover,FILE,EDITOR,false
file.recover,FILE,READER,true
file.recover,FILE,READER,false
file.recover,FILE,READER,false
file.permanently-delete,FILE,MANAGER,true
file.permanently-delete,FILE,MANAGER,false
file.permanently-delete,FILE,MANAGER,false
file.permanently-delete,FILE,EDITOR,true
file.permanently-delete,FILE,EDITOR,false
file.permanently-delete,FILE,EDITOR,false
file.permanently-delete,FILE,READER,true
file.permanently-delete,FILE,READER,false
file.permanently-delete,FILE,READER,false
file.share,FILE,MANAGER,true
file.share,FILE,MANAGER,true
file.share,FILE,MANAGER,true
file.share,FILE,EDITOR,true
file.share,FILE,EDITOR,true
file.share,FILE,EDITOR,true
file.share,FILE,READER,true
file.share,FILE,READER,true
file.share,FILE,READER,true
file.collaborators,FILE,MANAGER,true
file.collaborators,FILE,MANAGER,true
file.collaborators,FILE,MANAGER,false
file.collaborators,FILE,EDITOR,true
file.collaborators,FILE,EDITOR,true
file.collaborators,FILE,EDITOR,false
file.collaborators,FILE,READER,true
file.collaborators,FILE,READER,true
file.collaborators,FILE,READER,false
file.security-settings,FILE,MANAGER,true
file.security-settings,FILE,MANAGER,false
file.security-settings,FILE,MANAGER,false
file.security-settings,FILE,EDITOR,true
file.security-settings,FILE,EDITOR,false
file.security-settings,FILE,EDITOR,false
file.security-settings,FILE,READER,true
file.security-settings,FILE,READER,false
file.security-settings,FILE,READER,false
